Comment,Label,cluster
Sebuah maha karya yg hebat sangat menginspirasi generasi muda lain utk berkarya. 👍👍 Terima kasih atas kado hut RI yg ke 79 sungguh kado yg sangat luar biasa. Bangkitlah Nusantaraku 🙏🙏,,1
Bangga pux anak bangsa yg karyanya luar biasa 🥹🥹 Nusantara ku Indonesiaku,,1
Karya yg sangat luar biasa.. 🔥🔥🔥🔥,,1
Maha karya anak bangsa. luar biasa terimah kasih bang Alffy ref.,,1
Karya yang sangat luar biasa MERDEKA,,1
"MERINDING, TERHARU, TERPUKAU atas karya luar biasa hadiah ulang tahun RI di tahun 2024..

Karya anak BANGSA YANG MEMBANGGAKAN DAN LUAR BIASA❤❤",,1
"Saya sungguh sangat bangga dengan karya ini❤❤❤  luar biasa, menjadikan jiwa ini semakin cinta Nusantara. 
Bravo  The Guardian of Nusantara",,1
Wow...luar biasa 👍👍👍,,1
Apresiasi setinggi-tingginya atas karya yang luar biasa ini❤❤,,1
Luar biasa keren bet si ini sampe terharu aku 🖤,,1
"Terimakasih, sangat membanggakan karya hebat untuk 79 Nusantara Baru Indonesia maju",,1
Karya yang sangat luar biasa,,1
Karya yg sangat luar biasa bang alffy trus semangatt,,1
"Terima kasih...Karya yang luar biasa,Salam Kebangkitan Nusantara.",,1
Istimewa.. Luar biasa.. Terima kasih,,1
Terima kasih telah membuat maha karya yg menurut saya sangat luar biasa. Membuat saya semkin cinta tanah air. Karya ini sanggup menumbuhkan rasa nasionalisme. Sukses sellu ❤❤❤❤❤❤ salam Indonesia merdeka,,1
sungguh karya luar biasa di hari 17 agustus,,1
LuaR biasa,,1
Karya anak bangsa yang luar biasa,,1
❤luar biasa... best ever music n soundtrack..👏👏👏,,1
INDONESIA....,,1
DIRGAHAYU RI 79,,1
Luar biasa,,1
SANGAT LUAR BIASA KARYA INI.. TAKSU NIRMALA NUSANTARA...,,1
saya awar personal kalian berangkat dari Malaka projek setelah itu consideration ke akun kalian subhanallah sebauh karya yang kalian sajikan sungguh sangat luar biasa dari riset scrip teknikal yang menghasilkan sebuah karya yang luar biasa. setiap saya melihat clip nya selalu terlintas flasback perjuangan tim dewaatlantis dalam membuat sebuah maha karya yang luar biasa. yang saya melihat perjalanan stori kalian dulu nya berangkat dari conten creator biasa kurang dari 10 tahun menghasilkan mahakarya yang luar biasa terimakasih ALFFY REV .. ketika airmata dan senyum berada di satu tempat yang sama.. luar biasa,,1
tak terasa air mata menetes. INDONESIA... Terimakasih kak Alffy karya yg luar biasa.,,1
Indonesia 🇮🇩🇮🇩🇮🇩🇮🇩,,1
Karya yang sangat luar biasa dr sang putra anak bangsa semangatttt,,1
"Hebat, sungguh luar biasa ❤",,1
Luar biasa 👍👍👍,,1
"Wow ,saya salut ,dan saya sampai nangis nonton ini karya yang luar biasa , mengharumkan nama bangsa",,1
"sebuah karya yang sangat luar biasa apresiasi yg setingginya kami berikan untuk semua team yg terlibat, semoga selalu menghasilkan karya"" yg hebat seperti ini.",,1
Indonesia ❤,,1
saya bangga Karya karya dari mas Allfy Rev selalu ada kejutan luar biasa,,1
Karya yg luar biasa & patut diapresiasi. Mungkin kedepannya bisa diwujudkan film karya anak bangsa yg luar biasa.semoga pemerintah mendukung baik materi maupun segala apapun yg dibutuhkan.salam sukses dan semangat selalu untuk berkarya 👍,,1
"Ini sungguh  karya yang luar biasa.. 
Tetap  damai aman tentram indonesia tercinta.",,1
Woow amazing. Karya yang sangat luar biasa,,1
Garuda Indonesia,,1
Terima kasih banyak atas segala perjuangan yang telah dikerahkan untuk melahirkan karya yang luar biasa ini. Saya bangga menjadi bagian dari Negara Kesatuan Republik Indonesia...,,1
"Karya luar biasa dari Indonesia,,  pemuda Mojokerto,jadi  ikut bangga sebagai warga Mojokerto ❤❤",,1
Karya yang sangat luar biasa🎉,,1
Karya yang sangat luar biasa mas alfi,,1
WOOW LUAR BIASA SEBUAH KARYA KOLOSAL DAN SPEKATKULER :),,1
Keren banget.... Karya yang luar biasaaa ❤❤❤,,1
Makin bangga jd anak bangsa nusantaraku makin jaya sungguh luar biasa maha karya ini ❤,,1
"Semangat dan sehat selalu tim Allfy Rev.... Kalian Semua luar biasa luar biasa sangat...😘😘
Lanjutkan karya2 Selanjutnya.... 
lebih mantappp lagi suara yg ngomong di intro video seperti suara optimus prime.. dengan ditambah bass yg menggelegar, pasti mantappp bangeut...
tapi ini sdh sungguh luar biasa, karya yg blm pernah ada..:washhands::washhands::washhands:👍👍👍👍👍👍👍👍👍👍👍",,1
Dirgahayu Republik Indonesia.                  Negeriku Tercinta.,,1
"Sangat luar biasa editan dan lagunya, keren bikin film",,1
"Dengerinnya sampe bikin merinding. Karya yang luar biasa, indah.",,1
Karya yang luar biasa,,1
"Karya yang luar biasa, kaloborasi yang apik, aku semakin bangga menjadi anak bangsa",,1
Bener bener musisi yang luar biasa...,,1
"Kak Alfhy dengan karya” yg sngat luar biasa 🔥🔥🔥

Selalu menanti setiap karya nya",,1
"Luar biasa karyanya, semoga ada Movienya 🤲",,1
Dirgahayu INDONESIA 🇮🇩,,1
luar biasa 🔥❤️,,1
Karya seni yg luar biasa dari anak negeri ❤ Nusantara Indonesia,,1
Indonesia,,1
KARYA YANG sangat LUAR BIASA MANTAP DUA JEMPOL 😍😍😍,,1
Luar biasa ❤,,1
Maha karya yg luar biasa...,,1
Karya yg luar biasa membanggakan,,1
"Luar biasa karya ini, MasyaAllah 👍👍👍👍",,1
karya yang sangat luar biasa 😊,,1
"Asli merinding banget,.... Kereen luar biasa, karya yg sangat menakjubkan, sampe netes air mata. ❤❤❤❤",,1
dirgahayu Indonesiaku,,1
Luar biasa,,1
Luar biasa..karya mu.. Love indonesia ku.love NUSANTARA,,1
Luar Biasa ka Alffy..kereenn..merinding...,,1
"Luar biasa,, merinding liat karya ini 🔥",,1
"Dirgahayu negriku, jaya selalu...",,1
Karya Yang Sangat Luar Biasa. Terimakasih 🎉,,1
"Luar biasa, terpukau...",,1
Luar biasa....  NUSANTARA...,,1
karya luar biasa bangga sama negara kita ❤,,1
Ini baru namanya karya anak Bangsa yang sungguh luar biasa.. tidak hanya membuat bangga tetapi mempersatukan seluruh NKRI,,1
Masyallah sunggu karya yang luar biasa untuk NUSANTARA...... Terima Kasih Alffy Rev,,1
Luar biasa keren sekali,,1
"karya yang luar biasa 🔥🔥🔥
terima kasih team Alffy Rev sudah menampilkan sebuah keindahan yang mega untuk menggambarkan keindahan indonesia.",,1
Mahakarya yang membanggakan di Dirgahayu Indonesia ku,,1
"Merdeka♥️🇲🇨Nusantara baru,Indonesia maju♥️🇲🇨",,1
Karya luar biasa. Terharu 😭,,1
kita bangsa Indonesia  berjuang  untuk Indonesia merdeka!!!!! 😄😄😄,,1
"Majulah terus anak bangsa indonesia..sampai indonesia di kenal kuat oleh dunia..
Asli merinding lihat karya sebagus ini..sangat luar biasa😢",,1
"Luar biasa karya anak-anak bangsa ini, dari semua sisi ferfeck luar biasa,",,1
Karya luar biasa,,1
Ini luar biasa,,1
Indonesia yang indah😍💓,,1
Maha Karya yg LUAR BIASA,,1
Luar biasa karya yg sangat  luar biasa. Kita jaga Nusantara tetap utuh dan jaya❤❤❤❤🇮🇩🇮🇩🇮🇩,,1
Alffy karyamu selalu luar biasa🎉,,1
"Masyaallah Alvi dan tim kalian luar biasa, aku nangis melihat karyamu sungguh bangga menjadi warga negara Indonesia. Dan pastinya Indonesia bangga punya kalian.",,1
"Gila gilaaa merinding gue, thx u alffy rev buat karya yg luar biasa 👍👏",,1
Karya yang sangat luar biasa 🔥🔥🔥🔥🔥,,1
luar biasa,,1
luar biasa .....,,1
Terimakasih untuk karya yang sangat luar biasa ❤,,1
"Dirgahayu RI ke 79, nonton video ini hati bergetar untuk makin mencintai Indonesia.",,1
Luar biasa,,1
Dirgahayu Republik Indonesia ❤❤,,1
Semangat .... Merdeka..... HUT ke-79 RI,,1
Karya yang luar biasaaaaaaaaa,,1
Kalian luar biasa....kerren...❤,,1
Karya yg sangat luar biasa,,1
❤❤❤sangat luar biasa,,1
Luar biasa sekali nusantara ini,,1
karya yang luar biasa ini berhak mendapat 10juta views lebih 😭,,1
Sangat luar biasa,,1
Keren dirgahayu indonesiaku❤,,1
"Luar biasa sekali karya ini, kerenn 😿❤️",,1
"Sayang ya apresiasi nya kurang untuk karya"" alffy rev yg kental akan unsur tradisi Indonesia, 

Tetap semangat buat alffy rev & team 
Kalian luar biasa🎉",,1
Kereen luar biasa!! Semoga menginspirasi pemuda Indonesia lainnya,,1
Once suaranya luar biasa megah..,,1
"Luar biasa, keren ❤",,1
"Setiap tahun selalu menantikan karya dari Alffy Rev, selalu dibuat merinding setiap kali nonton videonya. Terimakasih Alffy, karya mu sangat luar biasa. Saya ikut bangga indonesia mempunyai seseorang yg sangat berbakat sepertimu. Sukses terus buat Alffy Rev, ditunggu karya selanjutnya",,1
"Luar biasa...kereeennn...
🇮🇩😍",,1
"alffy rev dan seluruh team, ini karya yang sangat luar biasa!!!!!! ga terasa betapa magisnya dan indahnya nusantara-indonesia!!! MERDEKAAAA!!!",,1
Luar biasa,,1
"Aku nangis, luar biasa kak alffy dan smuanya keren.",,1
Karya alffy rev selalu luar biasa dan sangat membanggakan Indonesia.,,1
Sumpah nih mahakarya luar biasa 😢😢😢,,1
"Asli ini karya yg luar biasa,,,sy merinding dan bangga melihat Vidio ini, sangat menyentuh jiwa dan semakin cinta negeri ku Indonesia.",,1
karya yang sangat luar biasa,,1
Luar biasa dan sangat membanggakan,,1
Dirgahayu Indonesia.. negaraku tercinta ❤❤🇮🇩,,1
Karya yang sangat luar biasa...!!,,1
Terima kasih atas karya yang luar biasa. Selalu menanti karya-karya alffy dkk selanjutnya... terus semangat berkarya. Semoga anak-anak penerus bangsa teus tumbuh dan menjaga nasionalismenya.,,1
🥺🥺 terimakasih Bang Alffy dan Tim telah menciptakan karya yang luar biasa ini,,1
Makasih bg alfy atas karya yang sangat luar biasa..,,1
luar biasa...,,1
Luar biasa,,1
Imagine yg luar biasa....,,1
Keren luar biasa editor nya... Jaya selalu Indonesia ku,,1
Dirgahayu Republik Indonesia... ❤❤🎉,,1
Luar biasa,,1
"Masyaallah merinding nya dari detik awal smpe akhir, terimakasih karena telah terlahir di Indonesia dan memberikan karya yang luar biasa:')",,1
Mahakarya luar biasa❤,,1
Luar biasa 👍👍👍,,1
"Terimakasih atas karyanya. Sunggub luar biasa. , ❤ di tunggu karya hebat slnjutnya 💪♥️🔥",,1
"kereeen sekali.. Respect kepada semua tim yang membuat karya luar biasa ini..
bangga dan terharu karya untuk kita bangsa Indonesia",,1
"sungguh mahakarya yang luar biasa,,, kado terindah untuk HUT RI tercinta",,1
Karya luar biasa.... keren ❤❤,,1
Tolong buatkan film dong..  ini karya luar biasa .,,1
Karya yg luar biasa,,1
Cginya luar biasa,,1
Sungguh mahakarya yang sangat luar biasa,,1
Karya luar biasa... Jariku otomatis langsung like. Terimakasih telah mewakili isi hati kamu bangsa Indonesia,,1
Buat aku Alffy rev itu selalu bikin MAHAKARYA yang luar biasa...multitalent dn diberkati luar biasa..featuring nya juga orang2 luar biasa,,1
Sebuah maha karya anak bangsa dr tanah Nusantara yg membanggakan... Dirgahayu Republik Indonesia ku Ke 79... ✊🇮🇩,,1
alfy terlalu keren… karya karya nya luar biasa. your the best bro 🍻,,1
Luar biasa patut diapresiasi setinggi tingginya ❤❤,,1
Sebuah maha karya yang luar biasa ❤❤❤ merinding dan berkobar di dalam jiwa. NUSANTARA BANGAKIT BERSAMA INDONESIA. INGAT KITA BINEKA TUNGGAL IKA,,1
"""NKRI HARGA MATI"" 
🇮🇩  DIRGAHAYU YG KE 79  🇮🇩",,1
Woooh luar biasa,,1
Dibikin sesenggukan nonton ini. DIRGAHAYU INDONESIA❤,,1
hanya satu kata luar biasa karya anak bangsa ini,,1
Luar biasa🔥,,1
MasyaAllah kereen bangett! Terima kasih untuk karya yang luar biasa!,,1
"Ka Alffy dan Team...
SAYA SEBAGAI WARGA NEGARA ASLI INDONESIA YANG MENCINTAI NEGARA INI DENGAN BERBAGAI PRESTASI DAN PROBLEMATIKNYA,
SAYA RESPEK LUAR BIASA DAN HORMAT SETINGGI-TINGGINYA KARENA PERJUANGAN KA ALFFY DAN TEAM MEMBUAT MVP INI. LUAR BIASA, KEREN, BIKIN MERINDING DAN MEMBUKTIKAN BANYAK TALENTA INDONESIA YANG GAK KALAH DARI ORANG LUAR NEGERI. 
TETAP SEMANGAT DAN TETAP BERKARYA LAH KA UNTUK MENGENALKAN KEINDAHAN DAN KREATIVITAS PEMUDA INDONESIA DIMATA DUNIA.
1 KATA
KEREEEEENNNNN 🫡👍👍👍👍👍👍👍👍👍👍👍👍",,1
"Aku menangis melihat ini, karya yang sangat luar biasa, dan aku juga menangis melihat kondisi indonesia saat ini🥹",,1
"Dirgahayu Indonesia Raya!! ❤
Nusantara maju
Indonesia bersatu!!! 🇮🇩",,1
Karya yg luar biasa,,1
Sungguh Keren Luar Biasa 🇮🇩🔥💪👍,,1
Karya anak bangsa yang luar biasa ....Alffy rev,,1
Terimakasih...luar biasa keren..,,1
Trima kasih sudah menciptakan karya yang luar biasa untuk Indonesia tercinta,,1
pasti biayanya luar biasa!,,1
Kerennnnnn Dirgahayu Republik  Indonesia,,1
Dirgahayu Republik Indonesia 🇮🇩,,1
INDONESIA ❤❤❤❤❤,,1
Biasa aja,,1
"Ini baru karya yg begitu luar biasa ,, selalu keren banget,.🎉🎉🎉🎉🎉❤❤❤❤❤ Sukses trus bng",,1
Sungguh karya yang sangat luar biasa dan menunjukkan keunikan budaya lokal Sangatlah berguna Untuk para Pemuda Untuk menjadikan anak bangsa indonesia menjadi beraktivitas dan menginspirasi,,1
Sungguh karya yang sangat luar biasa dan menunjukkan keunikan budaya lokal Sangatlah berguna Untuk para Pemuda Untuk menjadikan anak bangsa indonesia menjadi beraktivitas dan menginspirasi,,1
"Keren bg Alffy, luar biasa karya anak bangsa ❤❤❤👍👍👍",,1
Mahakarya yang luar biasa. M E R D E K A !,,1
Karya yg luar biasa....,,1
"MasyaAllah keren I LOVE INDONESIA ❤
terima kasih karyanya yg luar biasa ini 🔥👍👍",,1
"Gila ini karyanya, bangkitlah Indonesia...
Indonesia memanggil semua talenta anak negri. Tunjukkan kita bangsa yg besar, bangsa yg sedang menuju Indonesia Emas.
Dirgahayu Indonesiaku.",,1
"SubhanAllah ...❤❤❤❤🔥🔥🔥👍 anak muda Indonesia hebat luar biasa...🔥🔥🔥

Indonesia Jaya...basmi penghianat bangsa KORUPTOR 👎👎👎",,1
"benar..benar..MANTAP,  LUAR BIASA",,1
"Karya yang luar biasa kak, videonya keren banget kaya iklan Marjan😭❤️",,1
"Indonesia Bangkit. Videonya sangat luar biasa istimewa ⭐⭐⭐⭐⭐ kami menonton air mata menetes terus menerus, sampai terbawa ke suasana video tersebut. Percayalah Indonesia pasti menjadi Negara Besar Maju , berjaya dan disegani.
I ❤ Indonesia.",,1
"Komentar saya tentang""the guardian of nusantara""karya alffy rev ini adalah karya yang luar biasa dan bikin kita bangga jadi orang Indonesia. Vidio musiknya gak kalah keren. Tapi juga penuh makna ini bukan sekedar menonton vidio saja ya tapi membuat kita kagum dengan budaya Indonesia selain cerita yang keren alffyr rev berhasil menyatukan unsur tradisonal Indonesia Indonesia degan teknologi visual moderen yang membuat semua terasa luar biasa setiap degan kekayan budaya nusantara  filem ini akan menjadi hal yang sangat bermanfaat dalam industri filem Indonesia terutama dalam hal eksplorasi tema tama lokal yang dapat bersaing di internasional.",,1
Luar biasa,,1
"Sebuah karya yang berjudul ""The guadian of nusantara""
Menjadi suatu karya yang luar biasa dan bikin kita 
Bangga jadi orang indonesia. Vidio musiknya juga gak 
Kalah keren tapi juga penuh makna. 🇮🇩",,1
"komentar saya tentang ""The Guardian Of Nusantara"" karya Alffy rev ini adalah karya yang sangat luar biasa , dia bisa membuat vidionya seakan akan seperti nyata , lagunya juga mempunyai makna, saya sangat bangga menjadi rakyat Indonesia.selain ceritanya yang keren, Alffy rev berhasil menyatukan unsur"" tradisional Indonesia dengan teknologi visual modern yang membuat semuanya terasa luar biasa, dan dari vidio ini la saya tahu bahwa burung Garuda itu adalah burung yang sangat besar.
mungkin itu saja komentar dari saya saya berharap semoga Indonesia ini tetap menjadi bangsa yang makmur, tanpa melihat perbedaan , sebagai rakyat Indonesia kita harus mengamalkan""BHINNEKA TUNGGAL IKA "" yang artinya ""Walaupun berbeda-beda tetapi tetap satu jua""...",,1
Terbaik.. Terharu 😭😭😭.. Dirgahayu Indonesiaku ❤❤❤,,1
"Komentar saya tentang""The Guardian of Nusantara ""karya alffy rev.Ini adalah karya yang luar biasa dan bikin kami bangga menjadi orang Indonesia, video musik yang juga memiliki arti yang bermakna. Di video ini juga terdapat berbagai kolaborasi dari orang orang yang luar biasa seperti Once Mekel, Sudjiwo Tedjo, dan Novia Bachmid. Karna adanya mereka semua membuat video ini hidup dan berkesan. Dari video ini juga menjadi bukti nyata kalau seni dan teknologi bisa menggabungkan yang lama dan yang baru jadi sesuatu yang luar biasa. Dari cara mengenalkan latarnya yang bagus dan alur cerita yang bagus. Film ini layak diapresiasi kan karna menunjukkan keunikan budaya lokal, seperti dari pakaian adat, senjata, dan tarian daerah.🇮🇩",,1
"Karya alffy rev ini sangat bagus, keren
Dan SELAMAT HUT RI KE 79 🇮🇩",,1
"Komentar saya tentang ""The Guardian of Nusantara"" Karya Alffy rev ini adalah karya yang luar biasa. Didalam video ini bukan hanya sekedar untuk ditonton, tapi membuat kita kagum dan bangga dengan budaya Indonesia yang sangat luar biasa. 
 Film ini sangat bermanfaat terutama dalam hal eksplorasi tema-tema lokal yang dapat bersaing di internasional, dan selamat hut RI yang ke 79 untuk Indonesia Raya🇮🇩.",,1
"Karya yang luar biasa,,",,1
"Karya luar biasa yang menggambarkan Indonesia dan Garuda. ... Teruslah berkarya, terima kasih atas karya yang begitu indah ini",,1
"Seperti biasa karya alffy rev selalu totalitas, luar biasa karyanya. Semoga terus bersemangat dalam membuat karya",,1
Karya yang luar biasa❤❤❤❤,,1
"Langit memanggilnya tanah NUSANTARA🇮🇩
DIRGAHAYU INDONESIAKU HUT RI-79🇮🇩",,1
Luar biasa masyaalloh❤,,1
"Terimakasih sudah menghasilkan karya yang sangat menakjubkan, nangis banget karena benar-benar karya yang luar biasa❤",,1
Luar biasa 👍,,1
"❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Terimakasih semuanya sudah membuat mahakarya yang luar biasa.Abadi lah perdamaian di nusantara Indonesia raya",,1
Nusantara Indonesia ❤️👍☕,,1
Mahakarya yg sangat luar biasa. Terharu dan bangga. MERDEKA,,1
Karya yang sungguh luar biasa ❤❤,,1
"benarr benarr epik❤❤
luar biasa karya benar benar luar biasa Alffy rey ❤❤

apa lagi dengar ka Once liebe dich",,1
"Komentar saya tentang ""The Guardian of Nusantara"" Karya Alffy rev ini adalah karya yang luar biasa. Didalam video ini bukan hanya sekedar untuk ditonton, tapi membuat kita kagum dan bangga dengan budaya Indonesia yang sangat luar biasa. 
 Film ini sangat bermanfaat terutama dalam hal eksplorasi tema-tema lokal yang dapat bersaing di internasional, dan selamat hut RI yang ke 79 untuk Indonesia Raya🇮🇩.",,1
"Saya selalu menunggu karya Alffy Raf,.
Allfy Ref, Generasi Emas yang dimiliki Bangsa Indonesia karya spectacular,yang bikin bangga,haru, sampai meneteskan airmata, Nusantara adalah Sejarah besar yang di miliki Bangsa Indonesia, sejarah dan fakta sesungguhnya Dunia pun, mengenal betapa hebatnya NUSANTARA ❤❤❤❤❤Alffy Ref, teruskan berkarya, Nusantara baru menuju Indonesia Maju, Dirgahayu Nusantara ku Indonesia, yang ke79,
MERDEKA MERDEKA MERDEKA,BANDAR LAMPUNG SUMATERA NUSANTARA INDONESIA ❤❤❤❤❤🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",,1
"Video yang sangat epic... waoow,, luar biasa",,1
Sungguh karya luar biasa epic wuhuuuw,,1
"Karya yg sangat luar biasa, merinding dan haru nontonnya.",,1
"saya merinding, sampe netesin air mata, karya luar biasa.. ❤❤",,1
Mahakarya yg luar biasa,,1
"Terima kasih, karya nya luar biasa, melalui karya ini semoga rasa nasionalisme dan kebhinekaan di dalam jiwa setiap pemuda pemudi indonesia bisa terpanggil lagi, kita masih harus berjuang, berjuang untuk negeri kita tercinta. Indonesia. Dirgahayu tanah air ku. ❤❤❤",,1
Dirgahayu Republik Indonesia ke-79 🇮🇩 karya yang sangat membanggakan 🔥🔥🙏,,1
"Karya yang Luar Biasa ,Terbaik",,1
Karya yang sangat luar biasa wooww 🎉👏,,1
Luar biasa👍,,1
Karya yg sgt Luar biasa,,1
Sangat luar biasa karyanya.Dirgahayu ke 79 negeriku,,1
Terima kasih Alffy yang telah bekerja keras menghasilkan karya yang luar biasa ini. Semoga bisa menumbuhkan kembali semangat nasionalis bangsa Indonesia yang mulai pupus untuk bangkit kembali dan bersatu membangun negeri tercinta ini.,,1
Luar biasa alfy,,1
HWWAAAA INI KARYA YG SANGAT HEBAT DAN LUAR BIASA. MONANGISSSS,,1
"Nusantara baru 🇮🇩 
Indonesia maju 🇮🇩",,1
Terharu campur bangga liatnya. Karya luar biasa.,,1
Luar biasa 😍😍😍🇲🇨🇲🇨🇲🇨🇲🇨,,1
ikutan merinding kak alfy...trmksh atas karya yg luar biasa,,1
Karya yang luar biasa🇮🇩❤️,,1
Luar biasa Karya alffy rev 👍👍👍,,1
"Karya yg keren abis. Luar biasa. Terimakasih buat ide, kerja keras dan segala daya upaya untuk menyuguhkan keindahan Indonesia melalui karya ini. 👍👍👍",,1
Biasa indonesia kebanyakan fiksi..,,1
"Luar biasa
❤",,1
"Ini adalah masterpiece anak bangsa yg bernama Allfy rev yg sangat epic luar biasa sangat membanggakan, sebuah mahakarya yg amazing dan mengagumkan, sy bangga sekali, terharu menyaksikan video ini, semoga rakyat dan bangsa Indonesia senantiasa menjaga dan mengembangkan Nusantara negeri yg indah dan keberagaman suku dan budaya yg satu, Bhinneka Tunggal Ika, Indonesia tercinta, tanah airku tanah tumpah darahku, Dirgahayu negeriku RI ke 79, maju dan jayalah selamanya...Merdeka!!! NKRI harga mati!",,1
Sungguh Luar biasa karyamu ka Alfy good job merdeka Indonesia ku❤❤❤,,1
masyaallah... merinding.. karya yang luar biasa..,,1
Wungguh luar biasa mas alffy 🎉,,1
